id ;código;nombre;categoría;subcategoría;variante;origen;trazabilidad;formato;peso_aprox;descripción;imagen;destacado
;19219831;ESCALOPIN LOMO 6/300GR EL POZO;;;;;;;;;;
;23399736;TINGA DE POLLO;;;;;;;;;;
;23419153;LOMO FRESCO FILETE 60 GRS;;;;;;;;;;
;23419161;FILETE CINTA LOMO 90GR, BOLSA, 3;;;;;;;;;;
;24361651;CINTA LOMO TROZO VACIO C/8;;;;;;;;;;
;24944266;TACOS CINTA LOMO TIERNO BJA 8/50;;;;;;;;;;
;25020652;FILETE LOMO DUROC COREN BJA 330G(7 filetes de 42,85Gr);;;;;;;;;;
;90066686;(V) CERDO FILETE CINTA 70-90GR/6;;;;;;;;;;
;90068008;(V) CERDO LOMO FILETE 35-40/CAJA;;;;;;;;;;
;09702234;CHULETA AGUJA CERDO CE 4/1000G;;;;;;;;;;
;15115462;CHULETA DE LOMO;;;;;;;;;;
;15116437;CHULETA DE LOMO FAMILIAR;;;;;;;;;;
;15116486;CHULETA DE AGUJA FAMILIAR;;;;;;;;;;
;23419211;(V) CERDO CHULETA AGUJA 130-150G;;;;;;;;;;
;25020660;CHULETA LOMO DUROC COREN BJA 348;;;;;;;;;;
;90001423;CHULETA PORCIONADA CERDO C;;;;;;;;;;
;12255097;SOLOMILLO ENV VACIO UNIDAD PVP 2;;;;;;;;;;
;20317392;SOLOMILLO CERDO VACIO C/12K;;;;;;;;;;
;20329447;SOLOMILLO EXTRATIERNO VACIO C/6;;;;;;;;;;
;25020645;SOLOM. CERDO VAC.DUROC COREN C/6;;;;;;;;;;
;06833438;COSTILLA VACIO            (U);;;;;;;;;;
;11225224;TIRA COSTILLA ENVASAD AL VACIO;;;;;;;;;;
;21193677;COSTILLA CERDO MEDIA VACIO K;;;;;;;;;;
;23692098;TIRA COSTILLA FLOWPACK C/6;;;;;;;;;;
;23692106;COSTILLA PLANCHA FLOWPACK C/6;;;;;;;;;;
;12297180;CODILLO DE JAMON DE CERDO;;;;;;;;;;
;15999394;CODILLO CERDO FRESCO C/5KG;;;;;;;;;;
;20152070;CODILLO CERDO ENTERO CONGELADO C;;;;;;;;;;
;20316634;MAZA JAMON CERDO VACIO C/2;;;3,90 €;7%;04/08/2026;10/08/2026;Excel;;;
;20317061;CODILLO CERDO VACIO C/12K;;;;;;;;;;
;20317269;JAMON C/H CERDO VACIO C/2;;;;;;;;;;
;23419179;CERDO FILETE AGUJA 50-70G/45UD/C;;;;;;;;;;
;24943862;PALETA EN MITADES FLOWPACKG C/2;;;;;;;;;;
;24944274;PALETA EN DADOS 20X20 C/9KG;;;;;;;;;;
;25020694;FILETE AGUJA DUROC COREN BJA 280;;;;;;;;;;
;15116833;ESTOFADO;;;;;;;;;;
;15124134;PALETA DE CERDO PARTE ESCAPULA;;;;;;;;;;
